2620408635,3,1,0,0,Pass,Successful,42,50.9,50.9,35.8,49.3,True,False
2620408737,4,1,0,4,Pass,Unsuccessful,42,34.1,67.9,85.1,25.5,True,False
2620408785,3,1,0,8,Pass,Successful,36,14.0,72.2,26.5,64.4,False,False
2620408809,4,1,0,9,Pass,Unsuccessful,36,26.5,64.4,31.2,45.3,True,False
2620408931,6,1,0,11,Pass,Unsuccessful,42,70.8,60.3,71.4,51.0,True,False
2620408975,7,1,0,14,Pass,Unsuccessful,36,27.4,54.9,64.2,4.9,True,False
2620409099,8,1,0,18,Pass,Successful,42,36.9,91.5,15.0,63.6,True,False
2620409169,9,1,0,23,Pass,Successful,42,12.4,54.2,33.2,4.3,True,True
2620409195,10,1,0,26,Pass,Successful,42,33.2,4.3,36.6,12.8,True,False
2620409243,11,1,0,27,Pass,Successful,42,36.6,12.8,39.2,4.6,True,False
2620409271,12,1,0,30,Pass,Unsuccessful,42,39.1,4.3,52.7,16.7,True,True
2620409309,8,1,0,31,Pass,Unsuccessful,36,37.4,84.9,48.7,100.0,False,False
2620409507,14,1,0,39,Pass,Successful,42,50.9,0.0,57.2,10.4,True,False
2620409535,15,1,0,40,Pass,Successful,42,57.2,10.4,56.6,4.9,True,False
2620409557,16,1,0,41,Pass,Unsuccessful,42,56.6,4.9,62.2,13.4,True,True
2620409637,11,1,0,43,Pass,Successful,36,35.5,85.3,57.4,83.6,True,False
2620409681,13,1,0,45,Pass,Successful,36,57.4,83.6,53.5,89.6,True,False
2620409701,14,1,0,46,Pass,Successful,36,53.8,85.5,57.0,71.7,True,False
2620409707,15,1,0,46,Pass,Unsuccessful,36,56.1,70.7,60.4,76.5,True,False
2620409855,17,1,0,48,Pass,Unsuccessful,42,38.2,24.6,79.6,76.1,True,False
2620409925,16,1,0,53,Pass,Successful,36,19.4,26.4,28.8,19.6,True,False
2620410095,17,1,0,58,Pass,Successful,36,30.4,26.0,28.1,47.6,True,False
2620410147,18,1,1,1,Pass,Successful,36,30.4,49.1,43.3,44.0,True,False
2620410221,19,1,1,3,Pass,Successful,36,43.3,44.0,35.5,46.9,True,False
2620410261,20,1,1,6,Pass,Successful,36,36.0,44.7,46.4,42.0,True,False
2620410285,21,1,1,7,Pass,Successful,36,47.3,45.6,56.4,72.4,True,False
2620410349,22,1,1,9,Pass,Successful,36,56.4,72.4,40.8,82.4,True,False
2620410357,23,1,1,12,Pass,Successful,36,40.8,82.4,44.3,66.7,True,False
2620410407,24,1,1,13,Pass,Successful,36,44.3,66.7,34.1,73.3,True,False
2620410427,25,1,1,14,Pass,Successful,36,34.1,73.3,34.9,86.0,True,False
2620410541,26,1,1,15,Pass,Successful,36,34.9,86.0,13.3,52.2,True,False
2620410635,27,1,1,20,Pass,Unsuccessful,36,13.3,42.7,55.5,32.0,True,True
2620410759,19,1,1,24,Pass,Successful,42,41.5,66.3,14.6,55.1,True,False
2620410823,20,1,1,29,Pass,Successful,42,14.6,55.1,22.5,26.2,True,False
2620411015,21,1,1,31,Pass,Successful,42,22.5,25.0,7.1,48.8,True,False
2620411097,22,1,1,42,Pass,Unsuccessful,42,14.1,46.3,27.1,100.0,True,False
2620411229,29,1,1,48,Pass,Successful,36,77.5,0.0,77.2,9.7,True,False
2620411281,30,1,1,50,Pass,Successful,36,74.9,7.8,70.8,2.0,True,False
2620411349,31,1,1,51,Pass,Successful,36,69.8,2.9,63.1,20.4,True,False
2620411409,32,1,1,54,Pass,Successful,36,63.1,20.4,67.9,4.9,True,False
2620411469,33,1,1,56,Pass,Successful,36,66.8,6.9,60.6,19.3,True,False
2620411499,34,1,1,59,Pass,Successful,36,61.4,15.3,66.2,25.3,True,False
2620411539,35,1,2,1,Pass,Successful,36,66.2,25.3,67.1,15.3,True,False
2620411657,36,1,2,2,Pass,Successful,36,67.1,15.3,45.3,31.3,True,True
2620411711,37,1,2,6,Pass,Successful,36,47.4,40.0,56.3,30.4,True,False
2620411853,38,1,2,8,Pass,Successful,36,56.3,30.4,41.6,26.4,True,False
2620411887,39,1,2,13,Pass,Successful,36,31.3,22.7,36.3,39.6,True,False
2620411915,40,1,2,14,Pass,Successful,36,36.3,39.6,41.9,26.2,True,False
2620411967,41,1,2,15,Pass,Unsuccessful,36,41.9,26.2,50.2,41.6,True,False
2620412037,43,1,2,19,Pass,Successful,36,31.5,35.8,34.0,42.4,True,False
